LNVALUE2013,LNLMED,LNZINC2,LNZSMHC,LNTOTALCOST,HOMEAGE,ROOMS,ZADEQ,METRO,REGION1,REGION2,REGION3,LN(VALUE),,Coefficients, VALUE2013 ,Predicted Value Log, PRED2013 ,Error,Absolute Deviation,Mean Absolute Deviation
11.8493977,11.22015045,9.601165503,6.173786104,5.746203191,61,5,1,0,0,0,0,11.65268741,Intercept,-1.119063019," $140,000.00 ",11.84252007," $139,040.44 ", $(959.56),959.56,66640.96
13.25339164,11.06663836,11.00173311,6.508769137,5.377590547,71,6,1,1,0,0,0,11.40756495,LN(LMED),0.434930432," $570,000.00 ",11.69380426," $119,826.99 "," $(450,173.01)",450173.01,
11.91839057,11.16713394,11.36210258,5.983936281,5.775586207,51,7,1,0,0,0,0,11.51292546,LN(ZINC2),0.054176452," $150,000.00 ",11.91604466," $149,648.52 ", $(351.48),351.48,
12.61153775,11.22257316,10.4164908,6.751101469,5.937536205,71,9,1,0,0,1,0,12.32385568,LN(ZSMHC),0.040479411," $300,000.00 ",12.24734845," $208,427.90 "," $(91,572.10)",91572.10,
12.04355372,11.18986489,11.49235534,7.421177529,6.106280222,7,8,1,0,0,0,0,12.10071213,LN(TOTALCOST(,0.042186145," $170,000.00 ",12.46046375," $257,935.22 "," $87,935.22 ",87935.22,
13.71015004,11.18335138,12.70554102,8.163656176,6.64509097,16,13,1,0,0,1,0,13.65299163,HOMEAGE,-0.001448748," $900,000.00 ",13.47354226," $710,370.72 "," $(189,629.28)",189629.28,
11.77528973,11.05877944,9.739909239,6.063785209,5.734150011,26,6,1,0,0,0,1,11.46163217,ROOMS,0.038544279," $130,000.00 ",11.5981289," $108,893.86 "," $(21,106.14)",21106.14,
12.04355372,10.94295121,11.03942774,7.069023427,5.797070409,51,6,1,0,0,1,0,11.60823564,ZADEQ,-0.034483043," $170,000.00 ",11.6499252," $114,682.78 "," $(55,317.22)",55317.22,
12.34583459,10.89792381,11.79954698,7.023758955,5.122474776,36,6,1,0,0,0,0,11.73606902,METRO,-0.032658652," $230,000.00 ",11.95441474," $155,502.14 "," $(74,497.86)",74497.86,
12.61153775,10.80316098,10.34820542,6.487684018,5.972961076,16,3,1,0,0,1,0,12.20607265,REGION1,-0.134685527," $300,000.00 ",11.82973371," $137,273.93 "," $(162,726.07)",162726.07,
13.23569206,11.43279942,11.40744272,8.067776196,6.626717749,36,5,1,0,0,0,0,12.89921983,REGION2,-0.214668556," $560,000.00 ",12.93163409," $413,178.13 "," $(146,821.87)",146821.87,
12.61153775,10.80316098,9.920639611,6.687108608,5.853877322,26,4,1,0,0,1,0,11.73606902,REGION3,-0.151253412," $300,000.00 ",11.55136498," $103,918.79 "," $(196,081.21)",196081.21,
12.61153775,11.18986489,11.48473173,7.671360923,5.510062873,2,7,1,0,0,0,0,12.61153775,LN(VALUE2011),0.600655862," $300,000.00 ",12.72055576," $334,554.73 "," $34,554.73 ",34554.73,
11.8493977,11.03269371,9.801454827,5.811140993,4.899082808,16,5,1,0,0,1,0,11.87059991,,," $140,000.00 ",11.70283951," $120,914.57 "," $(19,085.43)",19085.43,
11.15625052,10.96983488,11.28933181,6.398594935,5.935995881,41,5,1,0,1,0,0,11.22524339,,," $70,000.00 ",11.4797585," $96,737.70 "," $26,737.70 ",26737.70,
